review_rank,review_priority,review_reasons,audit_label,scope,lines_year,precinct_key,county_norm,prec_id,split_count,district_weights,dominant_district,dominant_area_weight,total_area_weight,normalized_non_dominant_share,unallocated_area_weight,cvap_total,non_dominant_cvap_exposure,unallocated_cvap_exposure,has_precinct_cvap,max_non_dominant_vote_exposure,top_vote_exposure_contest,max_2024_total_votes,max_2024_non_dominant_vote_exposure,top_2024_vote_exposure_contest,closest_2024_abs_margin_pct,closest_2024_margin_contest,max_2024_margin_sensitivity,top_2024_margin_sensitivity_contest,contests_reviewed
1,high,high_cvap_exposure;medium_2024_vote_exposure,congressional_2026,congressional,2026,DAVIDSON - 001898,DAVIDSON,001898,2,6:0.539643;7:0.460357,6,0.53964256,1.0,0.46035744,0.0,8337.0,3838.0,0.0,True,2091.4038,president_2020,3726.0,1715.2918,us_senate_2024,53.8111,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
2,high,high_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity;close_2024_precinct_margin,congressional_2026,congressional,2026,MONTGOMERY - 006457,MONTGOMERY,006457,2,5:0.542000;7:0.458000,5,0.54200024,1.0,0.45799976,0.0,8369.0,3833.0,0.0,True,1411.5553,president_2020,2803.0,1283.7733,president_2024,7.45,us_senate_2024,928.822,us_senate_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
3,high,high_cvap_exposure;medium_2024_vote_exposure,state_house_2022,state_house,2022,DAVIDSON - 001898,DAVIDSON,001898,2,50:0.554036;56:0.445964,50,0.55403622,1.0,0.44596378,0.0,8337.0,3718.0,0.0,True,2026.0135,president_2020,3726.0,1661.661,us_senate_2024,53.8111,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
4,high,high_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity,state_senate_2022,state_senate,2022,MONTGOMERY - 006471,MONTGOMERY,006471,2,22:0.763215;23:0.236785,22,0.76321512,1.0,0.23678488,0.0,13337.0,3157.9999,0.0,True,1621.0293,president_2020,6533.0,1546.9156,president_2024,15.9651,president_2024,723.6935,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
5,high,medium_cvap_exposure;high_2024_vote_exposure,state_senate_2022,state_senate,2022,KNOX - 004888,KNOX,004888,2,5:0.536211;7:0.463789,5,0.53621103,1.0,0.46378897,0.0,6255.0,2901.0,0.0,True,3031.3247,president_2024,6536.0,3031.3247,president_2024,37.2129,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
6,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity,congressional_2026,congressional,2026,SHELBY - 008159,SHELBY,008159,2,8:0.548939;9:0.451061,8,0.54893933,1.0,0.45106067,0.0,6193.0,2793.4187,0.0,True,1140.2814,president_2024,2528.0,1140.2814,president_2024,11.1022,us_senate_2024,711.4744,us_senate_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
7,high,medium_cvap_exposure;high_2024_vote_exposure,state_house_2022,state_house,2022,RUTHERFORD - 007665,RUTHERFORD,007665,2,34:0.612678;13:0.387322,34,0.61267802,1.0,0.38732198,0.0,7162.0,2774.0,0.0,True,2920.4077,president_2024,7540.0,2920.4077,president_2024,44.3442,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
8,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity;multiway_split,state_house_2022,state_house,2022,KNOX - 004835,KNOX,004835,3,18:0.547776;14:0.451719;8:0.000505,18,0.54777559,1.0,0.45222441,0.0,6059.0,2740.0277,0.0,True,2313.5801,president_2020,3564.0,1611.7278,president_2024,13.9169,us_senate_2024,864.0526,us_senate_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
9,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity;close_2024_precinct_margin;multiway_split,state_house_2022,state_house,2022,SHELBY - 008241,SHELBY,008241,3,96:0.582089;97:0.281852;93:0.136059,96,0.58208885,1.0,0.41791115,0.0,6514.0,2722.2732,0.0,True,1525.7936,president_2020,2799.0,1169.7333,president_2024,8.1729,us_senate_2024,837.0761,us_senate_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
10,medium,medium_cvap_exposure;multiway_split,state_senate_2022,state_senate,2022,RUTHERFORD - 007654,RUTHERFORD,007654,3,13:0.545520;14:0.454376;17:0.000103,13,0.54552033,1.0,0.45447967,0.0,5976.0,2715.9705,0.0,True,1657.0329,president_2020,297.0,134.9805,president_2024,59.7938,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
